millis,stamp,datetime,gas_mq7,gas_mq135
1000,1700404387, 2023/11/19 14:33:7,326,49
1999,1700404388, 2023/11/19 14:33:8,331,49
3000,1700404389, 2023/11/19 14:33:9,336,49
3998,1700404390, 2023/11/19 14:33:10,340,49
5000,1700404391, 2023/11/19 14:33:11,343,49
5999,1700404392, 2023/11/19 14:33:12,346,49
7000,1700404393, 2023/11/19 14:33:13,347,49
7999,1700404394, 2023/11/19 14:33:14,349,49
8998,1700404395, 2023/11/19 14:33:15,351,49
9998,1700404396, 2023/11/19 14:33:16,352,49
10999,1700404397, 2023/11/19 14:33:17,356,49
12000,1700404398, 2023/11/19 14:33:18,357,48
12999,1700404399, 2023/11/19 14:33:19,357,48
14000,1700404400, 2023/11/19 14:33:20,357,48
14999,1700404401, 2023/11/19 14:33:21,357,47
16000,1700404402, 2023/11/19 14:33:22,357,47
16999,1700404403, 2023/11/19 14:33:23,357,46
17999,1700404404, 2023/11/19 14:33:24,357,46
18999,1700404405, 2023/11/19 14:33:25,357,45
19998,1700404406, 2023/11/19 14:33:26,356,45
20999,1700404407, 2023/11/19 14:33:27,357,45
21999,1700404408, 2023/11/19 14:33:28,356,44
23000,1700404409, 2023/11/19 14:33:29,356,43
23999,1700404410, 2023/11/19 14:33:30,356,43
24999,1700404411, 2023/11/19 14:33:31,356,42
25999,1700404412, 2023/11/19 14:33:32,354,42
26999,1700404413, 2023/11/19 14:33:33,354,41
28000,1700404414, 2023/11/19 14:33:34,353,41
28999,1700404415, 2023/11/19 14:33:35,353,40
29999,1700404416, 2023/11/19 14:33:36,352,40
30998,1700404417, 2023/11/19 14:33:37,352,40
32000,1700404418, 2023/11/19 14:33:38,348,40
32999,1700404419, 2023/11/19 14:33:39,352,40
33998,1700404420, 2023/11/19 14:33:40,352,39
35000,1700404421, 2023/11/19 14:33:41,351,39
35999,1700404422, 2023/11/19 14:33:42,351,39
37000,1700404423, 2023/11/19 14:33:43,351,38
37999,1700404424, 2023/11/19 14:33:44,349,38
39000,1700404425, 2023/11/19 14:33:45,351,39
39999,1700404426, 2023/11/19 14:33:46,349,37
40999,1700404427, 2023/11/19 14:33:47,348,37
41999,1700404428, 2023/11/19 14:33:48,347,36
42999,1700404429, 2023/11/19 14:33:49,347,36
43998,1700404430, 2023/11/19 14:33:50,346,36
44998,1700404431, 2023/11/19 14:33:51,346,36
45999,1700404432, 2023/11/19 14:33:52,346,36
46999,1700404433, 2023/11/19 14:33:53,345,36
48000,1700404434, 2023/11/19 14:33:54,345,36
48999,1700404435, 2023/11/19 14:33:55,344,35
49999,1700404436, 2023/11/19 14:33:56,344,35
51000,1700404437, 2023/11/19 14:33:57,344,35
51999,1700404438, 2023/11/19 14:33:58,344,35
52999,1700404439, 2023/11/19 14:33:59,343,35
53999,1700404440, 2023/11/19 14:34:0,343,35
54999,1700404441, 2023/11/19 14:34:1,343,35
55999,1700404442, 2023/11/19 14:34:2,343,34
56999,1700404443, 2023/11/19 14:34:3,343,34
57999,1700404444, 2023/11/19 14:34:4,344,35
58999,1700404445, 2023/11/19 14:34:5,343,34
59999,1700404446, 2023/11/19 14:34:6,342,34
60998,1700404447, 2023/11/19 14:34:7,341,34
62000,1700404448, 2023/11/19 14:34:8,341,34
62999,1700404449, 2023/11/19 14:34:9,341,34
64000,1700404450, 2023/11/19 14:34:10,341,34
64999,1700404451, 2023/11/19 14:34:11,340,33
65999,1700404452, 2023/11/19 14:34:12,340,33
67000,1700404453, 2023/11/19 14:34:13,340,33
67999,1700404454, 2023/11/19 14:34:14,340,33
68999,1700404455, 2023/11/19 14:34:15,340,33
69998,1700404456, 2023/11/19 14:34:16,340,33
70999,1700404457, 2023/11/19 14:34:17,340,32
71999,1700404458, 2023/11/19 14:34:18,339,33
72999,1700404459, 2023/11/19 14:34:19,339,33
73999,1700404460, 2023/11/19 14:34:20,339,33
74999,1700404461, 2023/11/19 14:34:21,339,32
76000,1700404462, 2023/11/19 14:34:22,339,32
76999,1700404463, 2023/11/19 14:34:23,339,32
78000,1700404464, 2023/11/19 14:34:24,339,32
78999,1700404465, 2023/11/19 14:34:25,338,32
79998,1700404466, 2023/11/19 14:34:26,338,32
80998,1700404467, 2023/11/19 14:34:27,338,32
81998,1700404468, 2023/11/19 14:34:28,338,32
