millis,stamp,Time,MQ135,MQ7
999, 1700408896, 2023/11/19 15:48:16, 268, 66
1999, 1700408897, 2023/11/19 15:48:17, 276, 65
2999, 1700408898, 2023/11/19 15:48:18, 283, 65
3999, 1700408899, 2023/11/19 15:48:19, 290, 59
5000, 1700408900, 2023/11/19 15:48:20, 294, 58
5999, 1700408901, 2023/11/19 15:48:21, 297, 59
7000, 1700408902, 2023/11/19 15:48:22, 300, 58
7999, 1700408903, 2023/11/19 15:48:23, 302, 57
8998, 1700408904, 2023/11/19 15:48:24, 312, 57
9999, 1700408905, 2023/11/19 15:48:25, 320, 56
10999, 1700408906, 2023/11/19 15:48:26, 320, 56
11999, 1700408907, 2023/11/19 15:48:27, 315, 42
12999, 1700408908, 2023/11/19 15:48:28, 319, 54
14000, 1700408909, 2023/11/19 15:48:29, 311, 78
14999, 1700408910, 2023/11/19 15:48:30, 312, 42
16000, 1700408911, 2023/11/19 15:48:31, 301, 46
16999, 1700408912, 2023/11/19 15:48:32, 316, 22
17998, 1700408913, 2023/11/19 15:48:33, 315, 36
18999, 1700408914, 2023/11/19 15:48:34, 316, 38
19998, 1700408915, 2023/11/19 15:48:35, 325, 42
20999, 1700408916, 2023/11/19 15:48:36, 320, 36
21999, 1700408917, 2023/11/19 15:48:37, 329, 34
23000, 1700408918, 2023/11/19 15:48:38, 328, 27
23999, 1700408919, 2023/11/19 15:48:39, 326, 44
24999, 1700408920, 2023/11/19 15:48:40, 325, 40
25999, 1700408921, 2023/11/19 15:48:41, 331, 51
26999, 1700408922, 2023/11/19 15:48:42, 312, 83
28000, 1700408923, 2023/11/19 15:48:43, 308, 79
28999, 1700408924, 2023/11/19 15:48:44, 310, 93
30000, 1700408925, 2023/11/19 15:48:45, 312, 80
30998, 1700408926, 2023/11/19 15:48:46, 310, 59
32000, 1700408927, 2023/11/19 15:48:47, 311, 58
32999, 1700408928, 2023/11/19 15:48:48, 316, 46
33998, 1700408929, 2023/11/19 15:48:49, 314, 43
34999, 1700408930, 2023/11/19 15:48:50, 309, 32
35999, 1700408931, 2023/11/19 15:48:51, 317, 29
37000, 1700408932, 2023/11/19 15:48:52, 318, 46
37999, 1700408933, 2023/11/19 15:48:53, 316, 32
39000, 1700408934, 2023/11/19 15:48:54, 312, 34
39999, 1700408935, 2023/11/19 15:48:55, 342, 19
40999, 1700408936, 2023/11/19 15:48:56, 307, 40
41999, 1700408937, 2023/11/19 15:48:57, 306, 34
42999, 1700408938, 2023/11/19 15:48:58, 308, 42
43998, 1700408939, 2023/11/19 15:48:59, 312, 42
44998, 1700408940, 2023/11/19 15:49:0, 313, 42
46000, 1700408941, 2023/11/19 15:49:1, 314, 42
46999, 1700408942, 2023/11/19 15:49:2, 315, 41
48000, 1700408943, 2023/11/19 15:49:3, 316, 40
48999, 1700408944, 2023/11/19 15:49:4, 317, 40
49999, 1700408945, 2023/11/19 15:49:5, 317, 40
50999, 1700408946, 2023/11/19 15:49:6, 317, 40
51999, 1700408947, 2023/11/19 15:49:7, 317, 40
53000, 1700408948, 2023/11/19 15:49:8, 317, 40
